Expected_h,Expected_Om,Expected_OL,Expected_Ok,Expected_OQ,Simulated_Om_mean,Simulated_OL_mean,Simulated_Ok_mean,Simulated_OQ_mean,Simulated_H_mean,Simulated_Om_variance,Simulated_OL_variance,Simulated_Ok_variance,Simulated_OQ_variance,Simulated_H_variance
0.6,0.26,0.78,-0.040000000000000036,0.0,0.12332643777720667,0.6703211689384969,0.19093469432918514,0.015417698955111322,0.0002158954899160427,2.675044166468178e-08,1.8740701012172932e-08,8.193939188553248e-08,2.417041159812148e-10,4.860565484923591e-16
0.6,0.26,0.8,-0.06000000000000005,0.0,0.11406760180839315,0.6937660659116957,0.17818771961675473,0.013978612663156509,0.00021491968879085833,3.1031847398812814e-08,2.1013188150554288e-08,9.670804992537508e-08,1.3477875142956852e-10,5.042158648983607e-16
0.6,0.28,0.6,0.12,0.0,0.19166906781823784,0.4782706017582221,0.3016643913816919,0.028395939041848173,0.00022416949878373594,7.787615315474538e-08,1.4602106868044355e-08,1.4544494815880638e-07,4.222387002113691e-10,8.020102159706166e-16
0.6,0.28,0.62,0.09999999999999998,0.0,0.1849999097683505,0.49800948031811865,0.29000857723986384,0.026982032673667073,0.00022331339774470335,8.927604498678273e-08,1.7660299110990092e-08,1.7273497889191814e-07,2.8860012013778434e-10,8.876787930890103e-16
0.6,0.28,0.64,0.07999999999999996,0.0,0.17810311046258756,0.5180990843918115,0.27823971829344185,0.025558086852159094,0.00022244431435600745,3.5945117728733536e-08,9.39652182448101e-09,7.403149826861924e-08,2.454001124633367e-10,4.3301935176716015e-16
0.6,0.28,0.66,0.05999999999999994,0.0,0.17102225801944734,0.5385932172603184,0.26627574844462876,0.02410877627560557,0.00022155383377619147,8.452553831149032e-08,2.4653965496687364e-08,1.8009895106631565e-07,8.311493111731665e-10,1.0430574534790246e-15
0.6,0.28,0.68,0.039999999999999925,0.0,0.16365471563121886,0.5594108142512854,0.2542555546480848,0.022678915469410844,0.0002206616005201852,5.772166428956304e-08,1.4025129023866342e-08,1.2429636235434425e-07,1.7468689883686483e-10,5.455572816668189e-16
0.6,0.28,0.7,0.020000000000000018,0.0,0.1559221432828531,0.5805460898644947,0.24227718246614566,0.021254584386506514,0.00021976999841885042,5.23924929487149e-08,1.7186454590482707e-08,1.209763179230373e-07,2.409089490599267e-10,6.157504145267253e-16
0.6,0.28,0.72,0.0,0.0,0.1479122058836422,0.6020992194411665,0.23017445762218172,0.019814117053009547,0.00021886179194511202,3.168028945647555e-08,1.1220605558656166e-08,7.621825056727378e-08,1.1059709213667174e-10,3.706654439665126e-16
0.6,0.28,0.74,-0.020000000000000018,0.0,0.14008014548994235,0.6243673681933309,0.21719819524480558,0.018354291071921203,0.00021788809232221748,2.926048346236544e-08,1.3886267440690044e-08,7.667183186587315e-08,1.643964963495145e-10,4.228238385842204e-16
0.6,0.28,0.76,-0.040000000000000036,0.0,0.13128022650850651,0.6466718459643488,0.20512997939690963,0.01691794813023506,0.00021697143317869972,3.659897528257644e-08,2.4888694276336095e-08,1.0784364237505272e-07,4.690314678102552e-10,7.001916871969177e-16
0.6,0.28,0.78,-0.06000000000000005,0.0,0.12259185772079181,0.6697260947183332,0.19221149896228373,0.015470548598591167,0.00021599138536385868,3.8759160229234586e-08,2.931273674180473e-08,1.2128778335538654e-07,4.620422666782423e-10,7.624311597048564e-16
0.6,0.28,0.8,-0.08000000000000007,0.0,0.11332477915179932,0.6931117831822244,0.17952972410337975,0.014033713562596525,0.00021502110349782476,1.6451098269856678e-08,1.2303345341220038e-08,5.246572557305592e-08,1.6133512506328015e-10,2.959723214850267e-16
0.6,0.3,0.6,0.09999999999999998,0.0,0.19074676717688385,0.47787246902624625,0.30292705054448366,0.02845371325238625,0.00022426285943490768,4.620188095320137e-08,8.670729231724532e-09,8.577116823579241e-08,4.163397658316362e-10,4.772740263515766e-16
0.6,0.3,0.62,0.07999999999999996,0.0,0.18434419378507724,0.49772907483201684,0.2909179134748999,0.027008817908006005,0.00022337628840861991,7.107919799817029e-09,1.0725053558547873e-09,1.3434438896071288e-08,6.036148851187373e-11,5.4007941165414466e-17
0.6,0.3,0.64,0.05999999999999994,0.0,0.17739822919034037,0.5177667906013192,0.27924056491970106,0.02559441528863917,0.00022251568167766097,1.4531754806049783e-08,2.5959639306735535e-09,2.8145240882959766e-08,2.866081195995962e-10,1.1987353375730965e-16
0.6,0.3,0.66,0.039999999999999925,0.0,0.17007473866203812,0.5380736939883948,0.2676664236436696,0.02418514370589749,0.00022166076376922152,4.7930318019906275e-08,1.5832181429456045e-08,1.0471250623600756e-07,5.253747760988494e-10,6.71479170098985e-16
0.6,0.3,0.68,0.019999999999999907,0.0,0.16264170030866987,0.5588133897462367,0.2557823955933116,0.022762514351781716,0.00022077952382519835,5.1461296874806173e-08,1.7416500786011985e-08,1.1626015706500259e-07,3.359554645362652e-10,6.798340394332475e-16
0.6,0.3,0.7,0.0,0.0,0.15496052825400217,0.5799736253838045,0.24375005570404115,0.021315790658152176,0.0002198784398702512,1.3843057324248175e-07,4.7377969494863464e-08,3.2218184544227186e-07,5.164235687463915e-10,1.7024637667630402e-15
0.6,0.3,0.72,-0.020000000000000018,0.0,0.1473035753127418,0.6017080012729666,0.2311334171951962,0.0198550062190954,0.00021893293025589347,3.3841375285405146e-08,1.2054425633115125e-08,8.13696356929162e-08,8.620182840972376e-11,3.9899922278761865e-16
0.6,0.3,0.74,-0.040000000000000036,0.0,0.1389810507699809,0.6236157603147812,0.218978685983125,0.01842450293211286,0.00021801935760927782,4.7701845570670984e-08,1.9153235994447936e-08,1.2065493682349218e-07,1.4533563817046697e-10,5.852267495381108e-16
0.6,0.3,0.76,-0.06000000000000005,0.0,0.13042463075507052,0.646012717088649,0.20657623313037843,0.016986419025902026,0.0002170820910531417,2.708721065098734e-08,1.0507730518490642e-08,6.94316299048725e-08,6.082833297522471e-11,2.966372541409293e-16
0.6,0.3,0.78,-0.08000000000000007,0.0,0.12183104925995376,0.6691007679460774,0.19353899061593105,0.01552919217803787,0.00021609229192537876,4.7378097011235704e-08,2.7520513476318554e-08,1.379497935326451e-07,2.0778252099241812e-10,7.175821907964956e-16
0.6,0.3,0.8,-0.10000000000000009,0.0,0.11250376324765306,0.6923796152401867,0.18101805922554923,0.0140985622866111,0.00021513476219094904,2.264407805702771e-08,1.2079338251439526e-08,6.571033475302628e-08,7.55668319590128e-11,2.915394753731393e-16
0.6,0.32,0.6,0.07999999999999996,0.0,0.190169587722963,0.47761599025411616,0.3037187442646621,0.028495677758258776,0.0002243230648593934,3.58405601523376e-08,5.834688520105223e-09,6.624535637504173e-08,1.996435105973701e-10,3.21785010604162e-16
0.6,0.32,0.62,0.05999999999999994,0.0,0.18356515211809563,0.49734662507788674,0.2920117729638384,0.02707644984017925,0.00022346215887268309,2.4757792906738237e-08,4.712695881659252e-09,4.7954855557879045e-08,9.42949214556917e-11,2.3780094254276446e-16
0.6,0.32,0.64,0.039999999999999925,0.0,0.17647548329963628,0.5173003141969057,0.28056145336656557,0.025662749136892406,0.0002226159897348819,9.024871425078356e-08,1.7511369583688176e-08,1.7906737088134423e-07,2.2233519590191706e-10,8.110849274609168e-16
0.6,0.32,0.66,0.019999999999999907,0.0,0.16950567277154788,0.5377783434924516,0.2684955523165933,0.024220431419407298,0.0002217216208652229,7.1114820585954105e-09,2.1742624952205925e-09,1.5290809486769297e-08,8.109522410603739e-11,9.239129171722973e-17
0.6,0.32,0.68,-1.1102230246251565e-16,0.0,0.16214164482608034,0.5585379660408356,0.2565271164392102,0.022793272693873816,0.00022083395058445583,3.417304611537853e-08,1.0669544031879595e-08,7.611933366635645e-08,1.681929502023854e-10,4.169458527016822e-16
0.6,0.32,0.7,-0.020000000000000018,0.0,0.1543035507125571,0.579559713437774,0.24476662991004128,0.02137010593962756,0.00021995693374975245,5.228498202101035e-09,2.1291665766397774e-09,1.220716660531544e-08,1.752208955872121e-10,7.666717630123142e-17
0.6,0.32,0.72,-0.040000000000000036,0.0,0.14633486873089746,0.6010676157083574,0.23266835845042486,0.01992915711032022,0.00021904952575543422,2.2331456698180366e-08,9.252194062034554e-09,5.490972199943547e-08,2.2139199002930869e-10,3.0724939608183677e-16
0.6,0.32,0.74,-0.06000000000000005,0.0,0.13816527218878893,0.6230615426532458,0.2202969832922869,0.018476201865678422,0.0002181163079754701,1.4486987855984895e-07,6.08738007412479e-08,3.7069933936323e-07,4.932898126690164e-10,1.864616804606273e-15
0.6,0.32,0.76,-0.08000000000000007,0.0,0.129601970925624,0.6454032689763947,0.20795188785142898,0.017042872246552376,0.00021718456099303318,2.1000381537527732e-08,9.573496735279619e-09,5.598318826437119e-08,4.744056097889121e-11,2.7105989395017694e-16
0.6,0.32,0.78,-0.10000000000000009,0.0,0.12084458784794512,0.6683252088505611,0.1952396001818612,0.015590603119632614,0.00021621763454857335,7.074727161850481e-09,4.37512366801521e-09,2.083510362974851e-08,4.8638666885822786e-11,1.1447985875204588e-16
0.6,0.32,0.8,-0.1200000000000001,0.0,0.1118352340394333,0.6917865719515375,0.18222834358829562,0.014149850420733672,0.00021522695628561754,1.7837177258210923e-08,1.4083917112135473e-08,5.857202102754015e-08,1.1268628615649833e-10,3.4081822825857023e-16
0.6,0.34,0.6,0.05999999999999994,0.0,0.18967080601729586,0.47739039244192816,0.3044040541598054,0.02853474738097056,0.0002243760638236284,5.958954992957479e-08,1.1425377537503149e-08,1.1133925317059598e-07,4.0381243287106914e-10,6.307127165293227e-16
0.6,0.34,0.62,0.039999999999999925,0.0,0.1825794663467633,0.49690392850426546,0.29338369853913987,0.02713290660983133,0.00022356168590191607,1.306084663886735e-07,3.002663771925378e-08,2.558766160160991e-07,1.0043129624781287e-09,1.5193141249347406e-15
0.6,0.34,0.64,0.019999999999999907,0.0,0.17582967624669615,0.5169811851304559,0.28148383069224386,0.02570530793060418,0.00022268468680234125,3.437849604442377e-08,9.406659677472305e-09,7.067976848180873e-08,3.8521109083402967e-10,4.363327673012054e-16
0.6,0.34,0.66,-1.1102230246251565e-16,0.0,0.16849701421837773,0.5372376106543764,0.2699712895012557,0.024294085625990204,0.0002218331755612671,1.3100845624999383e-08,5.190381921111021e-09,2.926482204238473e-08,2.650577209853394e-10,2.2121740480937814e-16
0.6,0.34,0.68,-0.02000000000000013,0.0,0.16107599110758164,0.557939927854945,0.2581195410496574,0.02286453998781605,0.00022095227165647066,3.853624994957543e-08,1.2061667954962809e-08,8.593672219040972e-08,1.9643126852949151e-10,4.728878744712511e-16
0.6,0.34,0.7,-0.040000000000000036,0.0,0.1535014725073109,0.5790909864248165,0.24599071780459542,0.0214168232632772,0.0002200459368938589,4.682222743949508e-08,1.4998739479973754e-08,1.075017878973368e-07,1.667290502593634e-10,5.413626845707919e-16
0.6,0.34,0.72,-0.06000000000000005,0.0,0.1458126012978216,0.6007421019903388,0.23348581572729596,0.019959480984543632,0.00021910886362786728,1.8895280990530067e-08,7.174002181496675e-09,4.613174064313246e-08,6.168666132092235e-11,2.385967131996302e-16
0.6,0.34,0.74,-0.08000000000000007,0.0,0.13735887055318535,0.6224834958360475,0.22161533369738265,0.018542299913384557,0.00021821754969023757,3.6131235450747504e-08,1.5167639270646457e-08,9.215537971539375e-08,1.6010274376962113e-10,4.661160817096728e-16
0.6,0.34,0.76,-0.10000000000000009,0.0,0.12886016043683174,0.6448521007434824,0.2091938497867858,0.01709388903290012,0.00021727735849940075,3.433148733953124e-08,1.7823631633591517e-08,9.447762661741808e-08,1.5534640902120674e-10,5.058278804598087e-16
0.6,0.34,0.78,-0.1200000000000001,0.0,0.12006105563824868,0.6676855800390802,0.19660338886242273,0.015649975460248523,0.00021632117645897995,1.2550998246109167e-08,9.297238760457614e-09,3.8988218684438476e-08,1.4326383032784878e-10,2.439745570393592e-16
0.6,0.34,0.8,-0.14000000000000012,0.0,0.11090602665833807,0.6909999162288483,0.1838867586952766,0.014207298417537137,0.00021534943107844872,1.0036764566914291e-08,7.558794922082295e-09,3.197327502677263e-08,1.0493839084857754e-10,1.8351437263765862e-16
0.6,0.36,0.6,0.040000000000000036,0.0,0.18874044809815813,0.47701260147858326,0.30567145787230626,0.028575492550952458,0.000224464900583316,1.0287061168800254e-07,1.8615002546630832e-08,1.924637714873666e-07,3.449556790101488e-10,1.0303951381532242e-15
